"Date","gdp","NTL"
"2013-01",NA,7.18040800094604
"2013-02",NA,4.31504440307617
"2013-03",NA,4.95058059692383
"2013-04",20722,4.89058971405029
"2013-05",NA,5.02421951293945
"2013-06",NA,5.00246572494507
"2013-07",25168,4.71037435531616
"2013-08",NA,4.67667245864868
"2013-09",NA,4.2039303779602
"2013-10",32131,4.88811206817627
"2013-11",NA,4.91071128845215
"2013-12",NA,4.96271848678589
"2014-01",28578,3.42779874801636
"2014-02",NA,3.66714477539062
"2014-03",NA,5.25706481933594
"2014-04",21469,5.33005523681641
"2014-05",NA,5.4252667427063
"2014-06",NA,5.48846244812012
"2014-07",26226,4.92466926574707
"2014-08",NA,4.47583627700806
"2014-09",NA,4.9677562713623
"2014-10",34027,5.27136182785034
"2014-11",NA,5.59230136871338
"2014-12",NA,5.35444259643555
"2015-01",29779,7.50196981430054
"2015-02",NA,5.6729850769043
"2015-03",NA,5.37817716598511
"2015-04",24423,5.82831811904907
"2015-05",NA,5.72969102859497
"2015-06",NA,6.12165021896362
"2015-07",28527,5.4064245223999
"2015-08",NA,5.17329692840576
"2015-09",NA,5.0785174369812
"2015-10",35890,5.25226736068726
"2015-11",NA,5.69241428375244
"2015-12",NA,5.1932487487793
"2016-01",33011,8.95414638519287
"2016-02",NA,5.13399076461792
"2016-03",NA,5.6806173324585
"2016-04",27097,5.45289373397827
"2016-05",NA,5.5478892326355
"2016-06",NA,NA
"2016-07",31434,5.10343313217163
"2016-08",NA,5.11979675292969
"2016-09",NA,5.18633222579956
"2016-10",39749,5.04304885864258
"2016-11",NA,5.37670660018921
"2016-12",NA,6.66758108139038
"2017-01",36196,7.32128524780273
"2017-02",NA,6.04829835891724
"2017-03",NA,NA
"2017-04",29670,5.46157789230347
"2017-05",NA,4.91484689712524
"2017-06",NA,5.40251779556274
"2017-07",34251,4.91297483444214
"2017-08",NA,4.94111251831055
"2017-09",NA,4.83280658721924
"2017-10",45523,5.12490558624268
"2017-11",NA,5.1681170463562
"2017-12",NA,5.21313381195068
"2018-01",40925,6.32494688034058
"2018-02",NA,7.75734233856201
"2018-03",NA,7.68576145172119
"2018-04",37609,6.08553266525269
"2018-05",NA,5.80810594558716
"2018-06",NA,5.88412380218506
"2018-07",44166,6.00159215927124
"2018-08",NA,5.40853643417358
"2018-09",NA,5.09538459777832
"2018-10",57370,5.42570114135742
"2018-11",NA,5.86946392059326
"2018-12",NA,6.0909161567688
"2019-01",50871,6.28655910491943
"2019-02",NA,6.89764833450317
"2019-03",NA,6.60717868804932
"2019-04",41185,6.6187162399292
"2019-05",NA,5.9984622001648
"2019-06",NA,6.21616554260254
"2019-07",49704,6.0314416885376
"2019-08",NA,6.99961376190186
"2019-09",NA,6.40691566467285
"2019-10",64323,5.92151069641113
"2019-11",NA,6.73150253295898
"2019-12",NA,6.44094896316528
"2020-01",54887,6.59614276885986
"2020-02",NA,7.05684185028076
"2020-03",NA,6.67437601089478
"2020-04",43685,7.10201025009155
"2020-05",NA,6.36885786056519
"2020-06",NA,6.65950727462769
"2020-07",44629,6.40718841552734
"2020-08",NA,6.41775274276733
"2020-09",NA,6.47044658660889
"2020-10",61719,5.98112154006958
"2020-11",NA,6.8685712814331
"2020-12",NA,4.81352424621582
"2021-01",56318,7.94757080078125
"2021-02",NA,NA
"2021-03",NA,7.16297006607056
"2021-04",48074,7.72991132736206
"2021-05",NA,7.83890962600708
"2021-06",NA,7.46446132659912
"2021-07",56985,6.81949090957642
"2021-08",NA,6.97333860397339
"2021-09",NA,6.92908954620361
"2021-10",70075,7.43428945541382
"2021-11",NA,7.28370523452759
"2021-12",NA,9.02116203308105
"2022-01",66736,9.55404949188232
"2022-02",NA,7.81614542007446
"2022-03",NA,8.98762512207031
"2022-04",56266,8.16852951049805
"2022-05",NA,8.31824111938477
"2022-06",NA,8.31884098052979
"2022-07",64326,7.69005346298218
"2022-08",NA,7.16530895233154
"2022-09",NA,7.5212345123291
"2022-10",77179,7.49055671691895
"2022-11",NA,6.72924089431763
"2022-12",NA,7.40480136871338
"2023-01",74785,NA
